category_id,category_level1,category_level2,category_level3,category_idx
1000021794,ABONNEMENT / SERVICES,CARTE PREPAYEE,CARTE PREPAYEE MULTIMEDIA,0
1000012764,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,ABRI FUMEUR,1
1000012776,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,ABRI VELO - ABRI MOTO,2
1000012768,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,FONTAINE A EAU,3
1000012755,AMENAGEMENT URBAIN - VOIRIE,SIGNALETIQUE,PANNEAU D'INFORMATION EXTERIEUR,4
1000012738,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,CONE DE SIGNALISATION - PLOT DE SIGNALISATION,5
1000012732,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,PANNEAU ROUTIER,6
1000013163,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,RUBAN DE SIGNALISATION,7
1000012712,AMENAGEMENT URBAIN - VOIRIE,VOIRIE,BLOC PARKING - ARCEAU PARKING,8
1000012718,AMENAGEMENT URBAIN - VOIRIE,VOIRIE,POTEAU - POTELET,9
1000016200,ANIMALERIE,ACCESSOIRE POUR REPAS,ABREUVOIR,10
1000016202,ANIMALERIE,ACCESSOIRE POUR REPAS,AUGE,11
1000016204,ANIMALERIE,ACCESSOIRE POUR REPAS,BIBERON,12
1000016210,ANIMALERIE,ACCESSOIRE POUR REPAS,DISTRIBUTEUR D'ALIMENT,13
1000021524,ANIMALERIE,ACCESSOIRE POUR REPAS,FONTAINE A EAU,14
1000016212,ANIMALERIE,ACCESSOIRE POUR REPAS,GAMELLE - ECUELLE - ACCESSOIRE DE GAMELLE - ACCESSOIRE ECUELLE,15
1000016220,ANIMALERIE,ACCESSOIRE POUR REPAS,KIT ACCESSOIRE POUR REPAS,16
1000016206,ANIMALERIE,ACCESSOIRE POUR REPAS,MANGEOIRE - TREMIE,17
1000016214,ANIMALERIE,ACCESSOIRE POUR REPAS,PINCE DE NOURRISSAGE - PELLE DE NOURRISSAGE - CUILLERE DE NOURRISSAGE,18
1000016216,ANIMALERIE,ACCESSOIRE POUR REPAS,RATELIER,19
1000016222,ANIMALERIE,ACCESSOIRE POUR REPAS,TRANSPORT DES ALIMENTS - BOITE DE RANGEMENT - POCHETTE A FRIANDISES,20
1000016226,ANIMALERIE,ALIMENTATION,ALIMENT MINERAL - COQUILLE - SEL A LECHER - PIERRE A RONGER,21
1000016228,ANIMALERIE,ALIMENTATION,ALIMENT PELLICULE - COMPRIME ALIMENTAIRE,22
1000016230,ANIMALERIE,ALIMENTATION,BOITE D'ALIMENTATION - PATEE D'ALIMENTATION - NOURRITURE HUMIDE - NOURRITURE MOLLE,23
1000016232,ANIMALERIE,ALIMENTATION,BOULE DE GRAISSE,24
1000016234,ANIMALERIE,ALIMENTATION,CROQUETTE - NOURRITURE SECHE,25
1000016236,ANIMALERIE,ALIMENTATION,EXTRUDE - EN GRANULE,26
1000016238,ANIMALERIE,ALIMENTATION,FLOCONS - MASH - MUESLI,27
1000016240,ANIMALERIE,ALIMENTATION,FOIN - FOURRAGE,28
1000016224,ANIMALERIE,ALIMENTATION,FRIANDISE,29
1000016242,ANIMALERIE,ALIMENTATION,GRAINES,30
1000016244,ANIMALERIE,ALIMENTATION,HERBE A MANGER - HERBE A CHAT,31
1000016248,ANIMALERIE,ALIMENTATION,KIT ALIMENTATION ANIMAL,32
1000016246,ANIMALERIE,ALIMENTATION,LAIT MATERNISE - BOISSON MATERNISEE,33
1000016250,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,CHATIERE - PORTE POUR CHAT - TRAPPE CHAT,34
1000016256,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,CHAUFFAGE,35
1000016258,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,ECLAIRAGE,36
1000016260,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,ENTRETIEN - TRAITEMENT,37
1000016262,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,FILTRE A AIR - FILTRE A EAU,38
1000016266,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,KIT AMENAGEMENT TECHNIQUE DE L'HABITAT,39
1000016252,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,POMPE A AIR - DIFFUSEUR D'AIR - ,40
1000016264,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,THERMOMETRE - HYDROMETRE,41
1000016268,ANIMALERIE,ATTACHE - SELLERIE,ACCESSOIRE DE SELLE,42
1000016270,ANIMALERIE,ATTACHE - SELLERIE,BRIDE - BRIDON - MUSEROLLE - CAVECON,43
1000016272,ANIMALERIE,ATTACHE - SELLERIE,COLLIER,44
1000016274,ANIMALERIE,ATTACHE - SELLERIE,HARNAIS ANIMAL,45
1000016288,ANIMALERIE,ATTACHE - SELLERIE,KIT ATTACHE - KIT SELLE,46
1000016276,ANIMALERIE,ATTACHE - SELLERIE,LAISSE - SANGLE - ACCOUPLE - FOURREAU POUR SANGLE,47
1000016278,ANIMALERIE,ATTACHE - SELLERIE,LONGE - LICOL,48
1000016280,ANIMALERIE,ATTACHE - SELLERIE,MORS - EMBOUCHURE,49
1000016282,ANIMALERIE,ATTACHE - SELLERIE,MUSELIERE,50
1000016284,ANIMALERIE,ATTACHE - SELLERIE,RENES,51
1000016286,ANIMALERIE,ATTACHE - SELLERIE,SELLE DE CHEVAL,52
1000016290,ANIMALERIE,DECORATION DE L'HABITAT,DECORATION ARTIFICIELLE - FOND DE DECOR,53
1000016296,ANIMALERIE,DECORATION DE L'HABITAT,KIT DECORATION DE L'HABITAT,54
1000016292,ANIMALERIE,DECORATION DE L'HABITAT,PERLE - BILLE DE VERRE - GRAVIER - ROCHER - PIERRE POUR QUARIUM - TERRARIUM - VIVARIUM,55
1000016294,ANIMALERIE,DECORATION DE L'HABITAT,PLANTE D'AQUARIUM - VIVARIUM - TERRARIUM - DECORATION VEGETALE - SUBSTRAT - RACINE - BOIS,56
1000016302,ANIMALERIE,EDUCATION - ACTIVITE,BAGUETTE DE DRESSAGE - COLLIER DE DRESSAGE,57
1000016306,ANIMALERIE,EDUCATION - ACTIVITE,CHASSE - PISTAGE - REPERAGE,58
1000016308,ANIMALERIE,EDUCATION - ACTIVITE,CLICKER - SIFFLET - DISQUE - BIPPER,59
1000016298,ANIMALERIE,EDUCATION - ACTIVITE,COLLIER ANTI-ABOIEMENT - DISPOSITIF ANTI-ABOIEMENT,60
1000016300,ANIMALERIE,EDUCATION - ACTIVITE,COLLIER ANTI-FUGUE - CLOTURE ANTI-FUGUE - PACK ANTI-FUGUE,61
1000016330,ANIMALERIE,EDUCATION - ACTIVITE,KIT EDUCATION ACTIVITE,62
1000016314,ANIMALERIE,EDUCATION - ACTIVITE,MATERIEL D'ENTRAINEMENT - MATERIEL AGILITY,63
1000016316,ANIMALERIE,EDUCATION - ACTIVITE,PIQUET D'ATTACHE,64
1000016322,ANIMALERIE,EDUCATION - ACTIVITE,REPULSIF - ATTRACTIF,65
1000016371,ANIMALERIE,HABITAT - COUCHAGE,ACCESSOIRE DE CAGE - ABRI PETIT ANIMAL,66
1000016332,ANIMALERIE,HABITAT - COUCHAGE,AQUARIUM,67
1000016334,ANIMALERIE,HABITAT - COUCHAGE,BASSIN POUR ANIMAL,68
1000016338,ANIMALERIE,HABITAT - COUCHAGE,CAGE,69
1000016340,ANIMALERIE,HABITAT - COUCHAGE,CLAPIER,70
1000016342,ANIMALERIE,HABITAT - COUCHAGE,CORBEILLE - PANIER - COUSSIN - HAMAC,71
1000016344,ANIMALERIE,HABITAT - COUCHAGE,COUVERTURE - PLAID,72
1000016356,ANIMALERIE,HABITAT - COUCHAGE,COUVRE-CAGE - COUVRE-PERCHOIR,73
1000016346,ANIMALERIE,HABITAT - COUCHAGE,ENCLOS - CHENIL,74
1000016373,ANIMALERIE,HABITAT - COUCHAGE,KIT HABITAT - COUCHAGE,75
1000016348,ANIMALERIE,HABITAT - COUCHAGE,NICHE,76
1000016350,ANIMALERIE,HABITAT - COUCHAGE,NICHOIR - NID,77
1000016352,ANIMALERIE,HABITAT - COUCHAGE,PARC,78
1000016353,ANIMALERIE,HABITAT - COUCHAGE,PERCHOIR,79
1000016362,ANIMALERIE,HABITAT - COUCHAGE,POULAILLER,80
1000016364,ANIMALERIE,HABITAT - COUCHAGE,SOUS MEUBLE - PIED POUR AQUARIUM - TERRARIUM - VIVARIUM,81
1000016366,ANIMALERIE,HABITAT - COUCHAGE,VIVARIUM - TERRARIUM,82
1000016369,ANIMALERIE,HABITAT - COUCHAGE,VOLIERE - CAGE OISEAU,83
1000016375,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,BAC A LITIERE,84
1000016377,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,DESODORISANT - NETTOYANT A LITIERE,85
1000016397,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,KIT HYGIENE LITIERE DEJECTIONS,86
1000016381,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,LITIERE MINERALE - LITIERE SILICE - LITIERE ARGILE,87
1000016395,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,LITIERE VEGETAL - PAILLE A LITIERE - LITIERE DE CHANVRE - COPEAUX DE LITIERE - LITIERE FLOCONNEE - LITIERE MAIS,88
1000016379,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,MAISON DE TOILETTE - BAC A LITIERE - FILTRE A CHARBON - TAPIS MAISON DE TOILETTE - TAPIS LITIERE,89
1000016383,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,PELLE A LITIERE - FOURCHE A LITIERE,90
1000016385,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,POUBELLE DE LITIERE,91
1000022497,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,SAC A LITIERE,92
1000016387,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,SAC DE PROPRETE - RAMASSE CROTTE - DEJECTION - EXCREMENTS,93
1000016389,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,SUR-LITIERE - FOND DE CAGE,94
1000016391,ANIMALERIE,HYGIENE LITIERE DEJECTIONS,TAPIS DE PROPRETE - APPRENTISSAGE DE PROPRETE - ALESE,95
1000016400,ANIMALERIE,JOUET,AIRE DE JEU - TAPIS DE JEU - TUNNEL DE JEU,96
1000016402,ANIMALERIE,JOUET,ARBRE A CHAT,97
1000016404,ANIMALERIE,JOUET,BALANCOIRE,98
1000021520,ANIMALERIE,JOUET,BALLE - FRISBEE,99
1000016406,ANIMALERIE,JOUET,CORDE DE JEU POUR ANIMAL,100
1000016398,ANIMALERIE,JOUET,GRIFFOIR - GRATTOIR - TOUR - POTEAU - TRONC,101
1000016408,ANIMALERIE,JOUET,JOUET,102
1000021522,ANIMALERIE,JOUET,JOUET A FRIANDISE,103
1000016416,ANIMALERIE,JOUET,KIT JOUET - SET ENSEMBLE JOUET,104
1000016410,ANIMALERIE,JOUET,PELUCHE,105
1000016412,ANIMALERIE,JOUET,PONT - ESCALIER,106
1000016414,ANIMALERIE,JOUET,ROUE D'EXERCICE RONGEUR - BOULE D'EXERCICE RONGEUR,107
1000016418,ANIMALERIE,MATERIEL DE TOILETTAGE,BAIGNOIRE DE TOILETTAGE,108
1000016420,ANIMALERIE,MATERIEL DE TOILETTAGE,BROSSE - GANT DE BROSSAGE - CARDE,109
1000016422,ANIMALERIE,MATERIEL DE TOILETTAGE,CISEAUX - COUPE-NOEUDS,110
1000016424,ANIMALERIE,MATERIEL DE TOILETTAGE,COUPE ONGLES - GRIFFES,111
1000016426,ANIMALERIE,MATERIEL DE TOILETTAGE,CURE-PIEDS - GRATTOIR - RENETTE,112
1000016428,ANIMALERIE,MATERIEL DE TOILETTAGE,ETRILLE,113
1000016430,ANIMALERIE,MATERIEL DE TOILETTAGE,KIT MATERIEL DE TOILETTAGE - PANSAGE,114
1000016432,ANIMALERIE,MATERIEL DE TOILETTAGE,LIME - RAPE - PINCEAU,115
1000016434,ANIMALERIE,MATERIEL DE TOILETTAGE,PEIGNE - DEMELOIR,116
1000016440,ANIMALERIE,MATERIEL DE TOILETTAGE,SECHOIR - PULSEUR,117
1000016442,ANIMALERIE,MATERIEL DE TOILETTAGE,SERVIETTE - PEIGNOIR,118
1000016444,ANIMALERIE,MATERIEL DE TOILETTAGE,TABLE DE TOILETTAGE,119
1000016446,ANIMALERIE,MATERIEL DE TOILETTAGE,TONDEUSE POUR ANIMAL,120
1000016448,ANIMALERIE,MATERNAGE - ELEVAGE,COUVEUSE - INCUBATEUR,121
1000016454,ANIMALERIE,MATERNAGE - ELEVAGE,KIT MATERNAGE - ELEVAGE,122
1000021802,ANIMALERIE,MATERNAGE - ELEVAGE,PLUMEUSE,123
1000016452,ANIMALERIE,MATERNAGE - ELEVAGE,PONDOIR - BAC D'ELEVAGE,124
1000016458,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,COLLERETTE - COLLIER DE CONVALESCENCE,125
1000016460,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,COMPLEMENT ALIMENTAIRE,126
1000016462,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,CULOTTE HYGIENIQUE - COUCHE - INCONTINENCE - PROTECTION MENSTRUELLE - CHALEURS,127
1000016464,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,DIFFUSEUR BIEN-ETRE - SPRAY APAISANT - SPRAY ANTI-STRESS - SPRAY ANTI NERVOSITE,128
1000016472,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,KIT DE PRODUITS DE SOIN - HYGIENE,129
1000016466,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,LINGETTE NETTOYANTE POUR ANIMAL,130
1000016468,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,PARFUM - DESODORISANT - DESINFECTANT,131
1000016456,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,PIPETTE ANTIPARASITAIRE - COLLIER ANTIPARASITAIRE - SPRAY ANTIPARASITAIRE - CROCHET TIQUE - SHAMPOING ANTIPARATISAIRE,132
1000016474,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,SHAMPOING - APRES-SHAMPOING - CONDITIONNEUR - MASQUE,133
1000016476,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,SOIN SPECIFIQUE,134
1000016478,ANIMALERIE,PRODUIT DE SOIN - HYGIENE,TERRE A BAIN - SABLE A BAIN,135
1000016480,ANIMALERIE,SECURITE - PROTECTION,BARRIERE DE SECURITE ESCALIER - BARRIERE DE SECURITE PORTE,136
1000016482,ANIMALERIE,SECURITE - PROTECTION,FILET DE PROTECTION - GRILLE DE PROTECTION,137
1000016492,ANIMALERIE,SECURITE - PROTECTION,GILET DE SAUVETAGE - GILET DE SECURITE,138
1000016490,ANIMALERIE,SECURITE - PROTECTION,KIT SECURITE - PROTECTION,139
1000016484,ANIMALERIE,SECURITE - PROTECTION,MEDAILLE D'IDENTIFICATION - PENDENTIF D'IDENTIFICATION - BAGUE D'IDENTIFICATION,140
1000016486,ANIMALERIE,SECURITE - PROTECTION,PLAQUE DE GARDE - SIGNALETIQUE AUTO,141
1000016488,ANIMALERIE,SECURITE - PROTECTION,REFLECTEUR - LAMPE POUR COLLIER,142
1000016494,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,ACCESSOIRE DE MANIPULATION - GANT - CROCHET - PINCE - EPUISETTE,143
1000016496,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,CAISSE DE TRANSPORT - CAGE DE TRANSPORT,144
1000016498,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,CEINTURE DE SECURITE,145
1000016506,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,KIT DE TRANSPORT - DEPLACEMENT - PROMENADE,146
1000016500,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,PANIER DE TRANSPORT - SAC DE TRANSPORT,147
1000016502,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,POUSSETTE POUR ANIMAUX,148
1000016504,ANIMALERIE,TRANSPORT - DEPLACEMENT - PROMENADE,TAPIS DE TRANSPORT,149
1000016508,ANIMALERIE,VETEMENT - ACCESSOIRE,BANDANA - FOULARD - CRAVATE - ECHARPE - NOEUD PAPILLON,150
1000016510,ANIMALERIE,VETEMENT - ACCESSOIRE,BIJOU,151
1000016512,ANIMALERIE,VETEMENT - ACCESSOIRE,CASQUETTE - BONNET - CHAPEAU - PROTEGE OREILLE - SNOOD,152
1000016514,ANIMALERIE,VETEMENT - ACCESSOIRE,CHEMISE,153
1000016516,ANIMALERIE,VETEMENT - ACCESSOIRE,COSTUME - ENSEMBLE,154
1000016518,ANIMALERIE,VETEMENT - ACCESSOIRE,COUVRE-REINS - COUVRE EPAULES,155
1000016520,ANIMALERIE,VETEMENT - ACCESSOIRE,CULOTTE,156
1000016522,ANIMALERIE,VETEMENT - ACCESSOIRE,DEGUISEMENT,157
1000016542,ANIMALERIE,VETEMENT - ACCESSOIRE,KIT VETEMENT - ACCESSOIRE,158
1000016524,ANIMALERIE,VETEMENT - ACCESSOIRE,LUNETTES,159
1000016526,ANIMALERIE,VETEMENT - ACCESSOIRE,MANTEAU,160
1000016528,ANIMALERIE,VETEMENT - ACCESSOIRE,NOEUDS - BARRETTES - ELASTIQUES,161
1000016530,ANIMALERIE,VETEMENT - ACCESSOIRE,PANTALON - PYJAMA,162
1000016532,ANIMALERIE,VETEMENT - ACCESSOIRE,PROTECTION DES PATTES -GUETRES - CHAUSSURES - CHAUSSETTES,163
1000016534,ANIMALERIE,VETEMENT - ACCESSOIRE,PULL - GILET,164
1000016536,ANIMALERIE,VETEMENT - ACCESSOIRE,ROBE - JUPE,165
1000016538,ANIMALERIE,VETEMENT - ACCESSOIRE,SAC - SACOCHE POUR ANIMAL,166
1000016540,ANIMALERIE,VETEMENT - ACCESSOIRE,T-SHIRT - BODY - TOP,167
1000017266,APICULTURE,OUTILS DE L'APICULTEUR,CHASSE-ABEILLES - PIEGE INSECTES - BOUCHON PIEGE,168
1000012391,ART DE LA TABLE - ARTICLES CULINAIRES,ACCESSOIRE DE CUISINE,BAC RANGE COUVERTS - BAC A COUVERTS POUR TIROIR,169
